91058 valid sequences out of 91143 
64 sites
Effective number of samples: 36732.3	(80% identical neighborhood = 1.000 samples)
iter	time	cond	fx	-loglk	||h||	||e||
1	16.8	1279.43	4046991.1	4046833.8	75.7	1.0
2	25.3	2746.00	3866053.1	3858890.1	75.6	8.4
3	33.8	1987.32	3714722.4	3700595.9	75.6	11.9
4	42.4	794.00	3640291.7	3627195.6	75.6	11.4
5	51.0	592.94	3618573.1	3605431.8	75.6	11.4
6	59.5	637.07	3597164.7	3582531.6	75.6	12.1
7	68.1	921.32	3542405.8	3518590.7	75.6	15.4
8	85.3	853.79	3522147.3	3492433.2	75.6	17.2
9	93.9	498.32	3504219.4	3469754.8	75.5	18.5
10	102.5	422.30	3486274.4	3445884.8	75.5	20.1
11	111.2	595.36	3467788.0	3420848.5	75.5	21.7
12	119.8	757.31	3450190.0	3391863.9	75.5	24.1
13	128.4	391.31	3435183.6	3375532.9	75.5	24.4
14	137.0	344.06	3426239.8	3367977.6	75.5	24.1
15	145.6	382.66	3416722.1	3359100.6	75.5	24.0
16	154.4	612.38	3403686.6	3343431.5	75.5	24.5
17	163.1	343.03	3391567.8	3327458.7	75.5	25.3
18	171.9	284.77	3384094.6	3317342.2	75.5	25.8
19	180.7	394.15	3374277.4	3300788.1	75.5	27.1
20	189.5	714.13	3372081.2	3291692.8	75.5	28.3
21	198.2	287.44	3364422.1	3285363.1	75.5	28.1
22	207.0	203.87	3359545.1	3279537.8	75.5	28.3
23	215.7	282.83	3353937.1	3270593.6	75.5	28.9
24	224.5	333.70	3346806.3	3257196.1	75.5	29.9
25	241.9	338.51	3342738.6	3248137.7	75.5	30.7
26	250.7	180.60	3338630.1	3240011.0	75.5	31.4
27	259.4	204.31	3335430.8	3233923.9	75.5	31.9
28	268.1	258.10	3331965.5	3226657.5	75.5	32.4
29	276.8	256.79	3328292.8	3217908.3	75.5	33.2
30	285.4	159.10	3325151.2	3213491.1	75.5	33.4
31	293.9	174.83	3321782.5	3208000.7	75.5	33.7
32	302.5	219.50	3319554.3	3203151.9	75.5	34.1
33	311.1	152.57	3317103.6	3197348.5	75.5	34.6
34	319.7	150.73	3315213.7	3192608.2	75.5	35.0
35	328.4	149.98	3313597.2	3187848.2	75.5	35.5
36	337.0	134.86	3312261.8	3184603.8	75.5	35.7
37	345.7	112.63	3310632.2	3179457.5	75.5	36.2
38	354.3	169.15	3309741.1	3176224.8	75.5	36.5
39	362.9	102.45	3308787.3	3174117.6	75.5	36.7
40	371.5	93.26	3307675.5	3170874.2	75.5	37.0
41	380.1	110.18	3306773.1	3167841.5	75.5	37.3
42	388.7	158.14	3305812.3	3162364.2	75.5	37.9
43	397.3	95.92	3304988.6	3161638.3	75.5	37.9
44	405.9	93.77	3304461.0	3161592.5	75.5	37.8
45	414.4	113.59	3303602.3	3160549.0	75.5	37.8
46	431.5	133.08	3303075.8	3159134.4	75.5	37.9
47	440.1	82.85	3302498.7	3157689.5	75.5	38.0
48	448.7	66.28	3301898.1	3156187.6	75.5	38.2
49	457.3	109.12	3301424.9	3155094.4	75.5	38.2
50	465.9	72.96	3300913.9	3154407.4	75.5	38.3
51	474.5	61.40	3300493.9	3154367.2	75.5	38.2
52	483.1	82.19	3300132.7	3154826.5	75.5	38.1
53	491.8	71.18	3299739.0	3155038.5	75.5	38.0
54	500.4	75.23	3299216.4	3155239.9	75.5	37.9
55	509.0	135.24	3299038.9	3155717.6	75.5	37.9
56	517.6	49.73	3298716.7	3155195.0	75.5	37.9
57	526.1	40.35	3298582.5	3154967.8	75.5	37.9
58	534.7	45.66	3298416.8	3154857.8	75.5	37.9
59	543.3	56.61	3298176.5	3154860.6	75.5	37.8
60	560.5	65.70	3298013.2	3154955.7	75.5	37.8
61	569.2	36.79	3297841.2	3155064.9	75.5	37.8
62	577.8	33.16	3297692.9	3155164.5	75.5	37.7
63	586.4	50.68	3297568.1	3155293.3	75.5	37.7
64	595.0	40.85	3297461.3	3155354.4	75.5	37.7
65	603.6	30.71	3297378.9	3155263.8	75.5	37.7
