91058 valid sequences out of 91143 
64 sites
Effective number of samples: 36732.3	(80% identical neighborhood = 1.000 samples)
iter	time	cond	fx	-loglk	||h||	||e||
1	17.6	1279.43	4046991.1	4046833.8	75.7	1.0
2	26.4	2746.00	3866053.1	3858890.1	75.6	8.4
3	35.3	1987.32	3714722.4	3700595.9	75.6	11.9
4	44.2	794.00	3640291.7	3627195.6	75.6	11.4
5	53.0	592.94	3618573.1	3605431.8	75.6	11.4
6	61.9	637.07	3597164.7	3582531.6	75.6	12.1
7	70.7	921.32	3542405.8	3518590.7	75.6	15.4
8	88.5	853.79	3522147.3	3492433.2	75.6	17.2
9	97.3	498.32	3504219.4	3469754.8	75.5	18.5
10	106.2	422.30	3486274.4	3445884.8	75.5	20.1
11	115.4	595.36	3467788.0	3420848.5	75.5	21.7
12	124.5	757.31	3450190.0	3391863.9	75.5	24.1
13	133.5	391.31	3435183.6	3375532.9	75.5	24.4
14	142.6	344.06	3426239.8	3367977.6	75.5	24.1
15	151.6	382.66	3416722.1	3359100.6	75.5	24.0
16	160.7	612.38	3403686.6	3343431.5	75.5	24.5
17	170.0	343.03	3391567.8	3327458.7	75.5	25.3
18	179.3	284.77	3384094.6	3317342.2	75.5	25.8
19	188.7	394.15	3374277.4	3300788.1	75.5	27.1
20	197.7	714.13	3372081.2	3291692.8	75.5	28.3
21	206.7	287.44	3364422.1	3285363.1	75.5	28.1
22	215.8	203.87	3359545.1	3279537.8	75.5	28.3
23	224.8	282.83	3353937.1	3270593.6	75.5	28.9
24	233.7	333.70	3346806.3	3257196.1	75.5	29.9
25	251.7	338.51	3342738.6	3248137.7	75.5	30.7
26	260.7	180.60	3338630.1	3240011.0	75.5	31.4
27	269.7	204.31	3335430.8	3233923.9	75.5	31.9
28	278.7	258.10	3331965.5	3226657.5	75.5	32.4
29	287.7	256.79	3328292.8	3217908.3	75.5	33.2
30	296.6	159.10	3325151.2	3213491.1	75.5	33.4
31	305.6	174.83	3321782.5	3208000.7	75.5	33.7
32	314.6	219.50	3319554.3	3203151.9	75.5	34.1
33	323.6	152.57	3317103.6	3197348.5	75.5	34.6
34	332.7	150.73	3315213.7	3192608.2	75.5	35.0
35	341.7	149.98	3313597.2	3187848.2	75.5	35.5
36	350.7	134.86	3312261.8	3184603.8	75.5	35.7
37	359.7	112.63	3310632.2	3179457.5	75.5	36.2
38	368.7	169.15	3309741.1	3176224.8	75.5	36.5
39	377.8	102.45	3308787.3	3174117.6	75.5	36.7
40	386.8	93.26	3307675.5	3170874.2	75.5	37.0
41	395.7	110.18	3306773.1	3167841.5	75.5	37.3
42	404.7	158.14	3305812.3	3162364.2	75.5	37.9
43	413.7	95.92	3304988.6	3161638.3	75.5	37.9
44	422.7	93.77	3304461.0	3161592.5	75.5	37.8
45	431.7	113.59	3303602.3	3160549.0	75.5	37.8
46	449.7	133.08	3303075.8	3159134.4	75.5	37.9
47	458.6	82.85	3302498.7	3157689.5	75.5	38.0
48	467.6	66.28	3301898.1	3156187.6	75.5	38.2
slurmstepd: error: *** JOB 42468593 ON compute-a-16-163 CANCELLED AT 2019-05-31T13:52:11 ***
